Num_Threads,Tiempo_Ejecucion,Speedup,Eficiencia
1,699.158875,1.0,1.0
2,585.209864,1.194714781841066,0.597357390920533
3,414.093906,1.6884065784827076,0.5628021928275692
4,315.597104,2.215352632006408,0.553838158001602
5,255.218943,2.739447420248896,0.5478894840497792
6,214.890178,3.253563664505876,0.5422606107509793
7,169.804089,4.117444280155114,0.5882063257364448
8,157.797448,4.430736262604196,0.5538420328255245
9,170.074411,4.110899875466862,0.4567666528296514
10,129.753619,5.388357414524215,0.5388357414524215
11,123.575841,5.6577310689716445,0.5143391880883313
12,117.358267,5.95747443169044,0.49645620264087004
13,100.869882,6.931294665339253,0.533176512718404
14,96.517545,7.243852659120162,0.5174180470800116
15,102.553148,6.817527190876676,0.45450181272511175
16,81.114706,8.619384936191471,0.538711558511967
17,81.213431,8.608907004556919,0.5064062943857011
18,73.279692,9.54096361376628,0.5300535340981267
19,67.629734,10.338039700111787,0.5441073526374625
20,66.187741,10.563268430629774,0.5281634215314888
21,64.25022,10.88181293387011,0.5181815682795291
22,60.237921,11.606623591806894,0.5275737996275861
23,59.000017,11.850147009279675,0.5152237830121598
24,55.582732,12.578706548645359,0.5241127728602233
25,54.343307,12.865593089504102,0.5146237235801641
26,51.593334,13.551341244975562,0.52120543249906
27,49.699564,14.067706408853002,0.5210261632908519
28,47.821133,14.620290886876308,0.5221532459598681
29,46.007348,15.196678474055926,0.5240233956571009
30,44.929186,15.561351923891966,0.5187117307963989
31,43.007421,16.256703116422628,0.524409777949117
32,42.451696,16.469515729124225,0.514672366535132
